Graph,n,m,minDeg,maxDeg,Time,Heuristics,variable,value
"I?Bv~~~~w
",10,34,4,9,0.0007081031799316406,0,RandomSolvable,1.0
"I?B~v~~~w
",10,34,5,9,0.0004017353057861328,0,RandomSolvable,1.0
"I?B~~~~~w
",10,35,5,9,0.00040459632873535156,0,RandomSolvable,1.0
"I?`v~~~~w
",10,34,5,9,0.0003998279571533203,0,RandomSolvable,1.0
"I?bN~~~~w
",10,34,4,9,0.0006229877471923828,0,RandomSolvable,0.0
"I?bf~~~~w
",10,34,2,9,0.002619504928588867,1,RandomSolvable,0.0
"I?bm~~~~w
",10,34,4,9,0.00048422813415527344,0,RandomSolvable,0.0
"I?bn^~~~w
",10,34,3,9,0.0003879070281982422,0,RandomSolvable,1.0
"I?bnv~~~w
",10,34,4,9,0.0006756782531738281,0,RandomSolvable,0.0
"I?bn~z~~w
",10,34,4,9,0.0005774497985839844,0,RandomSolvable,0.0
"I?bn~~~~w
",10,35,4,9,0.0005769729614257812,0,RandomSolvable,0.0
"I?br~~~~w
",10,34,5,9,0.0006225109100341797,0,RandomSolvable,0.0
"I?bv^~~~w
",10,34,4,9,0.0011339187622070312,0,RandomSolvable,0.0
"I?bvn~~~w
",10,34,4,9,0.0005781650543212891,0,RandomSolvable,0.0
"I?bvv~~~w
",10,34,5,9,0.0003905296325683594,0,RandomSolvable,1.0
"I?bv~z~~w
",10,34,5,9,0.0005764961242675781,0,RandomSolvable,0.0
"I?bv~~~~w
",10,35,5,9,0.0004703998565673828,0,RandomSolvable,1.0
"I?b~vz~~w
",10,34,5,9,0.0004031658172607422,0,RandomSolvable,0.0
"I?b~v~}~w
",10,34,5,9,0.00038433074951171875,0,RandomSolvable,1.0
"I?b~v~~~w
",10,35,5,9,0.0004634857177734375,0,RandomSolvable,0.0
"I?b~~~~~w
",10,36,5,9,0.0004763603210449219,0,RandomSolvable,0.0
"I?ov~~~~w
",10,34,5,9,0.0003819465637207031,0,RandomSolvable,1.0
"I?o~^~~~w
",10,34,4,9,0.0020456314086914062,0,RandomSolvable,0.0
"I?o~v~~~w
",10,34,5,9,0.0005564689636230469,0,RandomSolvable,0.0
"I?o~~z~~w
",10,34,5,9,0.0006465911865234375,0,RandomSolvable,0.0
"I?o~~~~~w
",10,35,5,9,0.0007071495056152344,0,RandomSolvable,0.0
"I?qf~~~~w
",10,34,4,9,0.00040793418884277344,0,RandomSolvable,1.0
"I?qj~~~~w
",10,34,4,9,0.0019507408142089844,0,RandomSolvable,0.0
"I?qm~~~~w
",10,34,4,9,0.0028836727142333984,0,RandomSolvable,0.0
"I?qn^~~~w
",10,34,3,9,0.0005364418029785156,0,RandomSolvable,0.0
"I?qnv~~~w
",10,34,4,9,0.0004150867462158203,0,RandomSolvable,0.0
"I?qn~z~~w
",10,34,4,9,0.0020449161529541016,0,RandomSolvable,0.0
"I?qn~~~~w
",10,35,4,9,0.0006783008575439453,0,RandomSolvable,0.0
"I?qr~~~~w
",10,34,5,9,0.0006351470947265625,0,RandomSolvable,0.0
"I?qt~~~~w
",10,34,4,9,0.0012514591217041016,0,RandomSolvable,0.0
"I?qv^~~~w
",10,34,4,9,0.0013489723205566406,0,RandomSolvable,0.0
"I?qvn~~~w
",10,34,5,9,0.0005655288696289062,0,RandomSolvable,0.0
"I?qvv~~~w
",10,34,5,9,0.0003552436828613281,0,RandomSolvable,0.0
"I?qv~z~~w
",10,34,5,9,0.0004980564117431641,0,RandomSolvable,0.0
"I?qv~~~~w
",10,35,5,9,0.0012929439544677734,0,RandomSolvable,0.0
"I?qzv~~~w
",10,34,5,9,0.0005514621734619141,0,RandomSolvable,0.0
"I?qz~^~~w
",10,34,1,9,0.0017151832580566406,1,RandomSolvable,0.0
"I?qz~n~~w
",10,34,5,9,0.00042939186096191406,0,RandomSolvable,0.0
"I?qz~~}~w
",10,34,5,9,0.0005002021789550781,0,RandomSolvable,0.0
"I?qz~~~~w
",10,35,5,9,0.0012326240539550781,0,RandomSolvable,0.0
"I?q|v~~~w
",10,34,4,9,0.00041294097900390625,0,RandomSolvable,0.0
"I?q|z~~~w
",10,34,4,9,0.0006291866302490234,0,RandomSolvable,0.0
"I?q||~~~w
",10,34,3,9,0.00119781494140625,0,RandomSolvable,0.0
"I?q|~^~~w
",10,34,4,9,0.0005095005035400391,0,RandomSolvable,0.0
"I?q|~n~~w
",10,34,4,9,0.0005180835723876953,0,RandomSolvable,0.0
"I?q|~z~~w
",10,34,4,9,0.0005457401275634766,0,RandomSolvable,0.0
"I?q|~~}~w
",10,34,4,9,0.0005860328674316406,0,RandomSolvable,0.0
"I?q|~~~~w
",10,35,4,9,0.0012409687042236328,0,RandomSolvable,0.0
"I?q~]~~~w
",10,34,4,9,0.0012466907501220703,0,RandomSolvable,0.0
"I?q~^^~~w
",10,34,3,9,0.0005116462707519531,0,RandomSolvable,0.0
"I?q~^n~~w
",10,34,4,9,0.0012149810791015625,0,RandomSolvable,0.0
"I?q~^v~~w
",10,34,4,9,0.0009109973907470703,0,RandomSolvable,0.0
"I?q~^z~~w
",10,34,4,9,0.0005850791931152344,0,RandomSolvable,0.0
"I?q~^~}~w
",10,34,4,9,0.0005497932434082031,0,RandomSolvable,0.0
"I?q~^~~~w
",10,35,4,9,0.0005099773406982422,0,RandomSolvable,0.0
"I?q~f~~~w
",10,34,5,9,0.0003924369812011719,0,RandomSolvable,1.0
"I?q~nn~~w
",10,34,5,9,0.0006167888641357422,0,RandomSolvable,0.0
"I?q~nz~~w
",10,34,5,9,0.0009219646453857422,0,RandomSolvable,0.0
"I?q~n~}~w
",10,34,5,9,0.0004012584686279297,0,RandomSolvable,1.0
"I?q~n~~~w
",10,35,5,9,0.0003612041473388672,0,RandomSolvable,0.0
"I?q~r~~~w
",10,34,5,9,0.0012540817260742188,0,RandomSolvable,0.0
"I?q~vn~~w
",10,34,5,9,0.0004112720489501953,0,RandomSolvable,0.0
"I?q~vv~~w
",10,34,5,9,0.0005636215209960938,0,RandomSolvable,0.0
"I?q~vz~~w
",10,34,5,9,0.00045371055603027344,0,RandomSolvable,0.0
"I?q~v~}~w
",10,34,5,9,0.0005292892456054688,0,RandomSolvable,0.0
"I?q~v~~~w
",10,35,5,9,0.000431060791015625,0,RandomSolvable,0.0
"I?q~~z}~w
",10,34,5,9,0.0009264945983886719,0,RandomSolvable,0.0
"I?q~~z~~w
",10,35,5,9,0.0005476474761962891,0,RandomSolvable,0.0
"I?q~~~~~w
",10,36,5,9,0.0005631446838378906,0,RandomSolvable,0.0
"I?rF~~~~w
",10,34,4,9,0.0006086826324462891,0,RandomSolvable,0.0
"I?rL~~~~w
",10,34,4,9,0.0003993511199951172,0,RandomSolvable,1.0
"I?rN^~~~w
",10,34,3,9,0.00040078163146972656,0,RandomSolvable,1.0
"I?rNv~~~w
",10,34,4,9,0.0004374980926513672,0,RandomSolvable,0.0
"I?rN~z~~w
",10,34,4,9,0.0005354881286621094,0,RandomSolvable,0.0
"I?rN~~~~w
",10,35,4,9,0.0004794597625732422,0,RandomSolvable,0.0
"I?rd~~~~w
",10,34,4,9,0.0011448860168457031,0,RandomSolvable,0.0
"I?re~~~~w
",10,34,4,9,0.001592874526977539,0,RandomSolvable,0.0
"I?rf^~~~w
",10,34,3,9,0.0006263256072998047,0,RandomSolvable,0.0
"I?rfn~~~w
",10,34,4,9,0.0005924701690673828,0,RandomSolvable,0.0
"I?rfv~~~w
",10,34,4,9,0.0003921985626220703,0,RandomSolvable,0.0
"I?rf~z~~w
",10,34,1,9,0.001508951187133789,1,RandomSolvable,0.0
"I?rf~~~~w
",10,35,4,9,0.000438690185546875,0,RandomSolvable,0.0
"I?rlv~~~w
",10,34,4,9,0.00046181678771972656,0,RandomSolvable,0.0
"I?rmv~~~w
",10,34,4,9,0.0004172325134277344,0,RandomSolvable,0.0
"I?rm~n~~w
",10,34,4,9,0.0005848407745361328,0,RandomSolvable,0.0
"I?rm~~}~w
",10,34,4,9,0.001001119613647461,0,RandomSolvable,0.0
"I?rm~~~~w
",10,35,4,9,0.0006012916564941406,0,RandomSolvable,0.0
